Script,Đối tượng ,Vui,Buồn,Tức,Ngạc nhiên,Chán,Emotion
"Hôm nay là một ngày tuyệt vời mà tôi không thể nào quên! Cuối cùng thì sau bao nhiêu ngày chuẩn bị và lo lắng mọi thứ, nhóm chúng tôi đã hoàn thành bài thuyết trình mà chúng tôi đã làm từ tuần trước. Đã có những đêm chúng tôi phải thức khuya để hoàn thiện các tài liệu, tranh luận về từng chi tiết nhỏ, và tập luyện cho phần trình bày sao cho thật mạch lạc, lôi cuốn. Mỗi người trong nhóm đều đóng góp ý tưởng, công sức của mình, và hôm nay là lúc chúng tôi đã được thấy những nỗ lực đó được đền đáp.
Khi đứng trước lớp, tôi có thể cảm nhận rõ ràng sự hồi hộp trong lòng, nhưng đồng thời cũng cảm thấy tự tin vì tôi đã chuẩn bị kỹ lưỡng. Nhóm chúng tôi đều có mặt trên sân khấu, và khi trình bày từng phần của bài thuyết trình, chúng tôi đã cảm nhận được sự kết nối và mạch lạc giữa các thành viên. Tuy có chút lo lắng, nhưng cảm giác đó nhanh chóng được thay thế bởi niềm tin vào bản thân và vào công việc của chúng tôi.
Chà, phải nói là phản hồi từ giảng viên thật sự rất tích cực. Thầy đã khen ngợi sự đầu tư của nhóm, và thậm chí thầy còn nói rằng bài thuyết trình của chúng tôi là một trong những bài xuất sắc nhất trong khóa học cơ đấy! Điều đó khiến chúng tôi cảm thấy rất hạnh phúc và tự hào. Không chỉ có giảng viên, mà các bạn trong lớp cũng tỏ ra rất ủng hộ và khen ngợi thành quả của chúng tôi. Sự công nhận từ cả thầy cô và bạn bè là một phần thưởng lớn cho nhóm.
Sau khi kết thúc bài thuyết trình, tôi cảm thấy như được giải tỏa một gánh nặng lớn. Mọi lo lắng, áp lực, và căng thẳng mà tôi đã trải qua trong suốt thời gian qua đều tan biến, nhường chỗ cho một cảm giác lâng lâng trong niềm vui và sự mãn nguyện. Cảm giác như mọi nỗ lực và sự cống hiến của chúng tôi đã được đền đáp xứng đáng. Tôi thực sự cảm thấy hạnh phúc vì tất cả những khó khăn mà nhóm đã vượt qua, và giờ đây, chúng tôi có thể tận hưởng thành quả của sự chăm chỉ và đoàn kết.
Hôm nay là một ngày mà tôi sẽ nhớ mãi. Không chỉ vì sự thành công trong bài thuyết trình mà còn vì cảm giác tuyệt vời khi thấy công sức của mình được ghi nhận và khi được chia sẻ thành công đó với các bạn của tôi. 
",sinh viên đại học,1,0,0,0,0,Happy
"Hihi, hôm nay quả là một ngày thật vui. Hiện tại mình đang cảm thấy thật sự hạnh phúc và tự hào. Nhận được bảng điểm của đứa con trai trưởng của mình, mình không thể ngừng mỉm cười. Con đã đạt điểm cao nhất trong kỳ thi vừa qua, và điều đó thực sự làm mình cảm thấy vui sướng đến chín tầng mây. Mình đã luôn tin tưởng vào khả năng của con, nhưng khi nhìn thấy thành quả rõ ràng như vậy, cảm xúc của mình mới thật sự vỡ òa. Giỏi quá con ơi! 
Mình nhớ những lúc thấy con phải vật lộn với bài tập và học hành, mình đã thấy rõ sự cố gắng của con. Con đã làm việc chăm chỉ, và giờ đây, những nỗ lực đó đã được đền đáp xứng đáng. Khi con chạy về nhà và khoe điểm số với mình, đôi mắt sáng lấp lánh và nụ cười hạnh phúc của con là những điều quý giá nhất mà mình có thể nhận được.
Tối hôm nay, mình đã tổ chức một bữa tối đặc biệt để chúc mừng thành tích của con. Mọi thứ đều thật tuyệt vời, từ món ăn ngon cho đến không khí vui vẻ trong gia đình. Mình không thể không cảm thấy tự hào khi thấy con đạt được thành công, và điều đó làm mình nghĩ rằng tất cả những công sức và thời gian mình đã dành cho gia đình đều thật sự đáng giá. Mình đã ôm con vào lòng và nói “Cha rất tự hào về con !”. 
Đây không chỉ là một thành tích của riêng con, mà là niềm vui và tự hào của cả gia đình. Mình chỉ mong rằng con sẽ luôn giữ được đam mê và nỗ lực như vậy, và sẽ tiếp tục gặt hái nhiều thành công hơn nữa trong tương lai. Thực sự, đây là một ngày tuyệt vời, và mình cảm thấy may mắn khi có một đứa con tuyệt vời như vậy.


",Ông bố con điểm cao,1,0,0,0,0,Happy
"Hôm nay là một ngày mà mình không bao giờ quên được. Có thể nói là ngày vui nhất từ trước đến giờ! Chưa bao giờ mình cảm thấy hạnh phúc đến thế. Đêm qua, mình còn ngồi thẫn thờ với những hóa đơn viện phí và lo lắng không biết làm thế nào để có đủ tiền cho mẹ. Sức khỏe của mẹ ngày càng yếu đi, mà số tiền cần để điều trị lại quá lớn. Mình cảm thấy bất lực và nặng nề vô cùng. Mình đã khóc tại bệnh viện, thậm chí còn có ý định đi vay nặng lãi. 
Nhưng mọi thứ đã thay đổi hoàn toàn hôm nay. Sáng nay, khi nhận được thông báo về việc thăng chức trong công ty và thưởng lớn, mình không thể tin nổi vào mắt mình. Mình đã đọc đi đọc lại thông báo đó mấy lần mới tin là thật. Cảm giác như một gánh nặng khổng lồ bỗng dưng được gỡ bỏ khỏi vai mình. Chỉ trong một khoảnh khắc, mọi lo toan về tiền bạc bỗng dưng tan biến. Mình đã vỡ òa trong hạnh phúc, sung sướng, lúc đó mình như được sống lại. 
Mình không thể diễn tả được niềm vui và sự nhẹ nhõm lúc này. Cảm xúc vỡ òa, không kìm nổi nước mắt. Được biết rằng mình có đủ tiền để chi trả viện phí cho mẹ, mình thấy mình như sống lại. Niềm hạnh phúc không chỉ vì phần thưởng này, mà vì mình có thể giúp mẹ nhanh chóng khỏe lại.
Bây giờ, mình chỉ ước sao mẹ sớm hồi phục và mình có thể thấy mẹ cười trở lại. Những nỗi lo lắng mà mình đã mang suốt thời gian qua giờ đây đã được thay thế bằng một niềm tin mãnh liệt rằng mọi chuyện sẽ ổn. Hôm nay, mình cảm thấy như mình đã được tặng một cơ hội mới và mình sẽ không bao giờ quên sự may mắn này. Cũng nhờ ơn công ty đã giúp đỡ mình, mình biết ơn mọi người lắm. 

",Có tiền viện phí cho Mẹ,1,0,0,0,0,Happy
"Hôm nay là một ngày tuyệt vời mà mình sẽ không bao giờ quên. Mình vừa tỏ tình với An, cô bạn lớp kế bên mà mình thích từ lâu, và bạn ấy đã đồng ý! Cảm giác như cả thế giới bỗng nhiên sáng lên và vui tươi hơn hẳn.

Sáng nay, khi chuẩn bị cho cuộc trò chuyện đó, mình không biết phải làm sao để diễn đạt hết những gì mình muốn nói. Tim mình cứ đập thình thịch không ngừng, và mình cảm thấy như cả bầu trời đang đè nặng lên vai mình. Nhưng rồi khi nhìn thấy An, mọi lo lắng như biến mất. Mình chỉ tập trung vào việc nói thật lòng mình.

Khi An mỉm cười và nói ""Đồng ý"" thì mình không thể tin nổi. Tim mình đập như trống trận, và mình cảm thấy như đang bay lên tận mây xanh. Đầu óc mình chỉ còn lơ lửng trong cảm giác sung sướng không thể tả. Mình cảm thấy như mình vừa trúng số độc đắc hay làm được một điều gì đó tuyệt vời lắm.

Hôm nay, mình đã cười nhiều hơn bao giờ hết, và cả buổi học trôi qua thật nhanh chóng. Mình không thể ngừng nghĩ về nụ cười của An và những cuộc trò chuyện vui vẻ sắp tới. Thậm chí, những bài kiểm tra và bài tập về nhà cũng không còn làm mình lo lắng nữa.

Cảm giác khi thấy bạn ấy vui vẻ và mỉm cười vì mình thực sự làm cho mình cảm thấy hạnh phúc tột độ. Mình biết rằng đây mới chỉ là bắt đầu, nhưng cảm giác này thật tuyệt vời và mình không thể chờ đợi để xem điều gì sẽ đến tiếp theo. Hôm nay, mình cảm thấy như mọi thứ đều có thể xảy ra, và chỉ cần có An bên cạnh, mọi thứ đều trở nên thật hoàn hảo.",Tỏ tình thành công,1,0,0,0,0,Happy
"Ngày đầu tiên tôi đưa đứa con đầu lòng đi học mẫu giáo, và thật sự là một ngày đầy cảm xúc. Để xem, khi đến trường, tôi đã rất lo lắng không biết con có thể hòa nhập nhanh chóng không, nhưng ngay từ những giây phút đầu tiên, tôi đã cảm thấy nhẹ nhõm. Con của tôi, ngạc nhiên làm sao, đã tỏ ra rất hào hứng và tự tin. Khi tôi chuẩn bị rời đi, thằng bé đã vẫy tay và nói một câu mà khiến tôi cảm thấy thật đáng yêu làm sao: “Chào mẹ, con sẽ chơi thật vui!”
Sau một buổi sáng dài ngồi chờ đợi, không biết thằng bé ra sao, cuối cùng cũng đã 4 giờ chiều rồi. Tôi quay lại trường để đón con, lòng có hơi chút lo lắng. Khi bước vào lớp, hình ảnh thằng bé vui vẻ chạy ra với nụ cười rạng rỡ đã khiến tôi cảm thấy tràn ngập niềm hạnh phúc (nghe thật sến quá đi mà!). Thằng bé kể cho tôi nghe về những người bạn mới, những trò chơi mà con đã tham gia, và sự phấn khích trong giọng nói của con thật sự làm tôi cảm thấy nhẹ nhõm. Thấy con mình hòa nhập tốt và vui vẻ như vậy, tôi không thể không cảm thấy hài lòng và vui mừng. Mặc dù đây mới chỉ là bước đầu trong hành trình dài, nhưng việc nhìn thấy con tự tin và hạnh phúc là món quà tuyệt vời nhất mà tôi có thể nhận được trong ngày hôm nay.

",mẹ bỉm sữa,1,0,0,0,0,Happy
"Hôm nay là một ngày rất đặc biệt – kỷ niệm 5 năm thành lập công ty tôi. Để đánh dấu mốc quan trọng này, chúng tôi đã tổ chức một buổi tiệc lớn, và phải nói rằng, đây là một sự kiện rất đáng nhớ. Buổi tiệc không chỉ có những món ăn ngon (bia cũng ngon lắm haha) mà còn là dịp để nhân viên cùng tụ họp, ôn lại những kỷ niệm cũ và tạo ra thêm sự đoàn kết. 
Điều làm tôi cảm thấy ấn tượng nhất trong buổi tiệc hôm nay là việc được gặp lại những đồng nghiệp cũ. Đã từ lâu rồi tôi không có dịp gặp họ (anh Trung, anh Hiếu), và việc được trò chuyện, chia sẻ với nhau về những ngày tháng của mỗi người thật sự là một niềm vui lớn. Chúng tôi đã cùng nhau ôn lại những câu chuyện hài hước, những kỉ niệm đáng nhớ từ những ngày đầu thành lập công ty. 
Nhìn lại hành trình 5 năm qua, từ những bước đi đầu tiên đến những thành công mà chúng tôi đã đạt được, tôi cảm thấy tự hào và hài lòng. Sự kiện hôm nay không chỉ là một buổi tiệc kỷ niệm mà còn là một minh chứng rõ nét cho sự phát triển và sự đoàn kết của công ty chúng tôi. Tôi tin rằng, với tinh thần này, công ty sẽ tiếp tục gặt hái thêm nhiều thành công trong những năm tới. Cố gắng nào!


",nhân viên văn phòng,1,0,0,0,0,Happy
"Hú, tớ vừa trở về từ chuyến du lịch Paris nè!
Ôi cái cảm giác hồi hộp của những ngày đầu vẫn còn đọng lại trong tâm trí tớ đây này. Thành phố Paris đúng là một nơi kỳ diệu, đầy những điều mới mẻ và thú vị mà tớ chưa từng trải nghiệm trước đây. Mỗi góc phố, mỗi con đường đều mang đến cho tớ một cảm giác mới lạ và cuốn hút.
Một trong những khoảnh khắc đáng nhớ nhất là khi tớ đứng trên đỉnh tháp Eiffel. Cảm giác nhìn toàn cảnh Paris từ trên cao thật sự khiến tớ choáng ngợp. Thành phố hiện ra trước mắt tớ như một bức tranh tuyệt đẹp với những mái nhà nhấp nhô và ánh đèn lung linh. Biết sao không? Cái cảm giác đứng trên đó, ngắm nhìn mọi thứ từ trên cao, khiến tớ cảm thấy như mình đang lạc vào một thế giới khác đấy haha. 
À mà, ngoài tháp Eiffel, tớ cũng đã có cơ hội thưởng thức món croissant ngon nhất trong đời. Đó là một trải nghiệm ẩm thực không thể nào quên. Bánh croissant ở đây không chỉ mềm mịn mà còn có hương vị thơm ngon tuyệt vời nha, khác hẳn với bất kỳ loại bánh nào tớ từng nếm. Mỗi miếng bánh là một sự kết hợp hoàn hảo giữa bơ và bột, tạo nên một hương vị đậm đà mà tớ chưa từng thử ở đâu khác.
Tớ còn lang thang khắp các con phố, thưởng thức cà phê, chụp hình, và đơn giản là tận hưởng không khí của thành phố ánh sáng này. Từ việc khám phá các bảo tàng nổi tiếng cho đến những buổi chiều ngồi thư giãn bên dòng sông Seine, mỗi khoảnh khắc đều để lại trong tớ những kỷ niệm đẹp và sâu sắc.
Tóm lại, chuyến đi này là một trải nghiệm tuyệt vời mà tớ sẽ không bao giờ quên. Paris thực sự đã để lại trong tớ những dấu ấn không thể phai mờ, và tớ cảm thấy thật may mắn khi được khám phá thành phố xinh đẹp này. Hi vọng sau này có thể quay lại Paris nhá! 


",khách du lịch,1,0,0,0,0,Happy
"Ôi trời! Hôm nay phải gọi là một ngày cực kỳ đặc biệt của tôi. Tôi vừa tham gia một cuộc thi marathon lớn và đã hoàn thành với thời gian tốt nhất trong sự nghiệp của mình. Cái cảm giác khi vừa chạy đến vạch đích và nhìn thấy đồng hồ báo thời gian là không thể diễn tả nổi – tôi đã thật sự vỡ òa trong hạnh phúc. Mọi mệt mỏi, đau đớn trong suốt chặng đường dài dường như tan biến hết khi thấy con số đó.
Quá trình tập luyện chăm chỉ, những buổi sáng sớm thức dậy để chạy, những buổi chiều nắng gắt tập thể lực, giờ đây đã được đền đáp xứng đáng. Tôi cảm nhận được sự cải thiện rõ rệt về sức khỏe và thể lực của mình. Mỗi bước chân trên đường đua đều là minh chứng cho sự kiên trì và nỗ lực không ngừng nghỉ của tôi.
Cảm giác tự hào về bản thân tràn ngập trong tôi. Việc hoàn thành cuộc thi với thời gian tốt nhất không chỉ là một cột mốc quan trọng mà còn là nguồn động viên to lớn để tôi tiếp tục theo đuổi đam mê thể thao của mình. Tối nay khi đi ăn cùng gia đình, tôi sẽ chia sẻ niềm vui này với họ. Háo hức quá đi!
",người đam mê thể thao,1,0,0,0,0,Happy
"Biết sao không! Mình vừa nhận nuôi một chú chó con từ trại cứu hộ đấy! Một chú chó thật sự đáng yêu và hiền lành haha. Suốt mấy giờ qua, mình đã không thể rời mắt khỏi chú. Khi mình mang chú về nhà, ban đầu cũng có một chút lo lắng vì không biết chú có làm quen được với ngôi nhà mới không, nhưng thật sự, mọi chuyện diễn ra tốt đẹp hơn mình tưởng tượng rất nhiều.
Mình đã đặt tên chú là Jake. Jake đã bắt đầu khám phá từng ngóc ngách trong nhà, từ cái ghế sofa đến góc bếp. Thấy Jake chạy quanh nhà, đuổi theo những ánh sáng phản chiếu trên sàn và vẫy đuôi liên tục, mình cảm thấy một niềm vui lớn lan tỏa trong lòng. Mỗi lần nhìn thấy đôi mắt sáng rực và cái đuôi vẫy liên tục của Jake, mình cảm nhận được tình yêu thương và sự kết nối đang dần hình thành giữa chúng tôi (nghe hơi văn chương nhỉ haha) 
Jake không chỉ mang lại cho mình niềm vui mà còn khiến tôi cảm thấy cuộc sống thêm phần ý nghĩa, mỗi ngày mình đều sẽ phải có trách nhiệm chăm sóc chú. Những khoảnh khắc như thế này thật sự quý giá, vì nó làm mình nhận ra rằng những điều nhỏ bé trong cuộc sống cũng có thể mang lại hạnh phúc lớn lao. Ngày mai, mình sẽ dẫn Jake đi gặp cô bạn thân của mình, hy vọng cổ cũng sẽ thích Jake như mình vậy. 
",người yêu động vật,1,0,0,0,0,Happy
"Hôm nay là một ngày thật sự đặc biệt đối với tôi. Sau nhiều tháng làm việc miệt mài, cuối cùng tôi đã hoàn thành bản thảo đầu tiên của cuốn sách mới. Hồi chiều lúc 4 giờ, ngồi nhìn thấy những trang giấy đầy chữ, chứng kiến dự án mà tôi đã ấp ủ từ lâu dần hình thành trước mắt, tôi sung sướng đến tột cùng, thật không thể diễn tả hết bằng lời.
Mỗi chương sách đều gợi nhớ về những đêm dài tôi đã ngồi bên bàn viết, đôi khi với cốc cà phê lạnh ngắt và ánh sáng từ chiếc đèn bàn đã cũ kỹ. Tôi đã dành nhiều thời gian để mài dũa từng câu chữ, từng tình tiết, và giờ đây, khi tất cả đã hoàn thành, tôi cảm thấy một sự hào hứng và xen lẫn tự hào. 
Việc gửi bản thảo đến nhà xuất bản là một bước quan trọng, và tôi không thể chờ đợi để xem phản hồi từ độc giả và bên nhà xuất bản. Tôi hy vọng rằng những gì tôi đã viết sẽ chạm đến trái tim của người đọc, và cuốn sách sẽ tìm được chỗ đứng trong lòng họ. Đây là một hành trình đầy cảm xúc và cũng là một thử thách lớn, nhưng tôi tin rằng mọi nỗ lực đều xứng đáng khi nhìn thấy thành quả.
Dù biết rằng còn nhiều việc phải làm, nhưng hôm nay, tôi chỉ muốn tận hưởng niềm vui đơn giản này và cảm ơn bản thân vì đã không bỏ cuộc. Hy vọng những ngày sau cũng thuận lợi như vậy! 




",Tác giả,1,0,0,0,0,Happy
